,station,lat,lon,distance(km),EW-PGA,NS-PGA,UD-PGA,PGA,EW-PGV,NS-PGV,UD-PGV,PGV,I
0,C5808,24.52736,118.57318,345.88626037558186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,B4411,25.20113,119.51973,349.9607258336146,2.9735634197486096,2.5320052900158427,2.311617137337094,3.038388727934109,1.06342952119817,0.26035941095040294,1.1861723544343044,1.5658754538021744,10.354271648879397
2,C5704,24.6822,118.6846,350.17152445577926,3.544015433617992,2.6262841554101928,2.7702980449419643,3.6760478387824387,3.047344854570819,0.9034025589335378,1.4373582870597068,3.4767666613618022,11.39352663366886
3,C5809,24.62576,118.618,350.3108067175137,7.118509042884471,23.76136982812796,34.48006018238669,42.463628140286446,0.8024671058080429,3.5180950664782804,5.8363251932306985,6.77426679043277,12.0
4,C5702,24.7524,118.7604,350.8115873314278,3.276724876636651,5.494783662032246,2.326233792348819,5.495469073879043,1.3542814733862383,4.487808476855418,0.9515187829511357,4.757088755760681,11.80202376313768
5,C5703,24.7259,118.7256,350.94669400680425,3.4261394029281003,4.554386883944578,3.088452867163198,4.660027548270854,0.2615845472821661,1.0683369650064558,0.1591636771827115,1.0851233017906303,9.876437268686677
6,C5307,24.891,118.923,352.29379085781204,2.5224145682268135,3.238582888305948,2.4891619413542654,3.267664481082987,1.829860820642027,0.6939977739896313,0.4446735085183749,1.9701155375401942,10.653475088400725
7,C5311,24.94906,118.99816,352.9329835525575,3.7724632759309285,4.8049159599460936,3.30227864107535,5.253274002994056,1.1290285999012746,3.5960898652695406,0.6225574279000743,3.7589789172256003,11.49520966975256
8,C5807,24.60303,118.55213,353.2487998850937,3.0319924219621264,3.180716080632033,2.5128188345659077,3.371834118526527,2.76613276029903,2.5662971331523408,1.2779200867057185,3.922753125323166,11.550772931258162
9,C5306,24.91974,118.8907,356.80560486073364,2.240693628455261,2.23280784427682,2.616944289830668,2.618148425693612,1.5267635323159459,1.6718472904726651,0.21934896062334214,2.2523126661764756,10.827886037449408
10,B4410,25.0845,119.1246,358.1675072656394,5.946835313347919,6.28814401491997,8.320529846605844,9.780195892430264,1.9115406136545139,1.233288486535445,1.7389178927152138,2.76934703399948,11.09713214514287
11,C5805,24.6844,118.5655,358.6697336663261,5.868237700459815,5.639889649208224,3.6333948174179307,7.119280446898805,0.611164851435256,0.5914858610179184,0.26714961480357774,0.8476197251887729,9.554603164223494
12,C5705,24.7264,118.6109,358.8430592475318,7.234420357073495,5.15707794193002,8.508292348845815,10.21971912226034,2.16628084750911,1.5968648905766905,6.381461475088383,6.880384011299235,12.0
13,C5701,24.7912,118.6871,358.93631111650507,3.9393073083729817,3.4998351488840096,1.7918221605612503,4.417570825295449,0.3196974897306066,1.526371411223719,0.17326621627998787,1.5549641325943715,10.34516112762041
14,C5806,24.63176,118.50115,359.1653990608999,4.596158825839439,3.321691968454451,3.2895952074204704,5.531463681503627,1.3648244629521145,1.326492663509769,0.7019570203969518,1.9536401537585966,10.642533718636228
15,C5313,24.90649,118.8006,361.2794290205736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,C5310,24.9808,118.9034,361.4252570121394,3.051621637538996,2.5682498510705107,2.2582568364353715,3.1120755121928174,2.3949029164173745,0.1320112089015622,0.6080696360397071,2.461597820695272,10.943651296248385
17,C5810,24.76959,118.5998,363.1026358517262,3.8796003719759313,3.8681686994254814,3.31840681397562,4.269221982186226,1.1476044694822374,0.28807207799243545,2.170009544551797,2.4340100873519335,10.928967121278117
18,B4403,25.2131,119.2606,363.2816760632099,2.7556159319884186,3.4903355834754133,2.8957114135867235,3.5344076152233894,0.4983417455642697,0.8905777027990057,1.2223493217261294,1.5543356820024028,10.34463445091974
19,C5811,24.79614,118.62144,363.78372823167376,3.546440466494052,2.319441753734193,2.321411972086203,3.600169481794359,1.8589632909343263,4.296407111314945,0.8081217332130728,4.713957432680746,11.790156969502124
20,C5314,24.87935,118.72358,363.90833364452953,4.502113413184191,2.570975447299734,5.248062388678773,6.187729998913086,3.944479724895038,1.7297277166298317,0.49604711903716886,4.307968289079731,11.672817493398462
21,C5309,25.01264,118.89876,364.5369399064019,4.883875862155966,3.723827170461415,4.0451814238429575,5.689991646849113,0.9575119708615204,1.0582597270510825,0.8805815303855096,1.6338727304656413,10.409654673218679
22,B4408,25.15944,119.12,365.4300689251622,2.3622947844079487,2.798539760579309,2.986285560791913,3.0743361129882354,0.7845174404504035,0.830405893652676,2.3203610300226076,2.546596671436701,10.987880501275013
23,C5312,24.91885,118.7498,365.5788159831029,4.633389595226962,2.992410614900783,2.5997144924774362,5.318738032403602,0.3527189078288846,1.169272152208916,0.8016453229121315,1.424619808187368,10.231096935693202
24,D2505,24.5645,118.3358,366.37931228018726,3.6130222510030214,3.6724935419021247,2.670306932208753,4.4628319501041425,3.735636760323828,0.8465298414512865,0.8101431310251523,3.880435937131755,11.536641553939145
25,B4404,25.258,119.2811,366.61381072946966,2.5069969796574076,2.162470373185718,3.123785449228064,3.2383195938393508,0.49282830889074725,2.5874121959811838,0.5374173948889962,2.652483879810077,11.040958259608008
